date,close,SECID
2016-12-08,94.0,ABRD
2016-12-09,96.5,ABRD
2016-12-12,98.0,ABRD
2016-12-13,94.0,ABRD
2016-12-14,95.0,ABRD
2016-12-15,94.5,ABRD
2016-12-16,99.5,ABRD
2016-12-19,100.0,ABRD
2016-12-20,101.5,ABRD
2016-12-21,103.0,ABRD
2016-12-22,101.0,ABRD
2016-12-23,100.0,ABRD
2016-12-26,99.0,ABRD
2016-12-27,98.0,ABRD
2016-12-28,99.0,ABRD
2016-12-29,98.0,ABRD
2016-12-30,100.0,ABRD
2017-01-03,99.5,ABRD
2017-01-04,,ABRD
2017-01-05,,ABRD
2017-01-06,97.0,ABRD
2017-01-09,97.0,ABRD
2017-01-10,,ABRD
2017-01-11,98.0,ABRD
2017-01-12,95.5,ABRD
2017-01-13,97.0,ABRD
2017-01-16,100.0,ABRD
2017-01-17,103.5,ABRD
2017-01-18,,ABRD
2017-01-19,,ABRD
2017-01-20,,ABRD
2017-01-23,,ABRD
2017-01-24,101.0,ABRD
2017-01-25,100.5,ABRD
2017-01-26,108.5,ABRD
2017-01-27,104.0,ABRD
2017-01-30,109.0,ABRD
2017-01-31,,ABRD
2017-02-01,107.0,ABRD
2017-02-02,111.0,ABRD
2017-02-03,108.0,ABRD
2017-02-06,108.0,ABRD
2017-02-07,105.0,ABRD
2017-02-08,111.5,ABRD
2017-02-09,107.5,ABRD
2017-02-10,109.0,ABRD
2017-02-13,114.0,ABRD
2017-02-14,,ABRD
2017-02-15,,ABRD
2017-02-16,111.0,ABRD
2017-02-17,109.5,ABRD
2017-02-20,107.0,ABRD
2017-02-21,110.0,ABRD
2017-02-22,110.0,ABRD
2017-02-24,108.0,ABRD
2017-02-27,108.5,ABRD
2017-02-28,107.5,ABRD
2017-03-01,106.0,ABRD
2017-03-02,104.0,ABRD
2017-03-03,106.5,ABRD
2017-03-06,117.0,ABRD
2017-03-07,117.0,ABRD
2017-03-09,117.0,ABRD
2017-03-10,120.0,ABRD
2017-03-13,124.0,ABRD
2017-03-14,,ABRD
2017-03-15,124.0,ABRD
2017-03-16,120.0,ABRD
2017-03-17,118.5,ABRD
2017-03-20,133.0,ABRD
2017-03-21,130.0,ABRD
2017-03-22,130.0,ABRD
2017-03-23,130.0,ABRD
2017-03-24,127.5,ABRD
2017-03-27,,ABRD
2017-03-28,137.0,ABRD
2017-03-29,143.0,ABRD
2017-03-30,145.0,ABRD
2017-03-31,135.0,ABRD
2017-04-03,,ABRD
2017-04-04,145.0,ABRD
2017-04-05,149.5,ABRD
2017-04-06,150.0,ABRD
2017-04-07,,ABRD
2017-04-10,150.0,ABRD
2017-04-11,140.0,ABRD
2017-04-12,,ABRD
2017-04-13,147.5,ABRD
2017-04-14,,ABRD
2017-04-17,144.5,ABRD
2017-04-18,148.0,ABRD
2017-04-19,,ABRD
2017-04-20,,ABRD
2017-04-21,,ABRD
2017-04-24,,ABRD
2017-04-25,146.5,ABRD
2017-04-26,145.0,ABRD
2017-04-27,140.5,ABRD
2017-04-28,145.0,ABRD
2017-05-02,141.0,ABRD
2017-05-03,141.0,ABRD
2017-05-04,135.5,ABRD
2017-05-05,135.0,ABRD
2017-05-10,141.5,ABRD
